id,headline,summary
11,"F. Scott Fitzgerald | Biography, Books, Zelda, Education, The Great Gatsby, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE1rNU55VmNkMldCSlNNQW1QUkZZeUx6Mk94MU1qb3JUT2thX1Jhd0dJVzllVjNaLXR3alA0cWRMaV9jaTdxNkJZNHZTRFNTWlc2RnA1QTFiSU5hWGN0ejB2VWRjaXdvUQ?oc=5"" target=""_blank"">F. Scott Fitzgerald | Biography, Books, Zelda, Education, The Great Gatsby, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
12,"Bell hooks | Biography, Books, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE84RFplbjBRT2ZFNlN2cE1HUGRrTm1QaU8yMDhYYVhpNko5Y1BMTEVLQzZjbXRwa3lSMlRmLVNnUno5OXAzS1h1TUU3Z2J4QXN5QkFMZmQ1VDBUTVk?oc=5"" target=""_blank"">Bell hooks | Biography, Books, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
13,"Jesus | Facts, Teachings, Miracles, Death, & Doctrines - Britannica","<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE9vVGZYNm5oMGVPYzQzdzY2bEZCZVFRV0pXMk9kVHhIUDZIdWN2VVQ2Ykhoa1ZUdlNVMFBPa3FBZXNLRHpSU3ZGZkM2cmIydFRaT0Uyeg?oc=5"" target=""_blank"">Jesus | Facts, Teachings, Miracles, Death, & Doctrines</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
14,"Emily Dickinson | Biography, Poems, Death, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiYkFVX3lxTE00Um0zUjNxRHduNjZGeC11VUZfc2l3WFdHd0ExY3hrTHVGTzBfd1ZRSXZ2WUxydFVYZS1ENXhQcXpqbjF5aGpUNU1PUzVJanhQbWtxNEFsTU5qaHJsTndfcXpn?oc=5"" target=""_blank"">Emily Dickinson | Biography, Poems, Death, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
15,Narendra Modi - Britannica,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTE1UTElWTGNCUHpwQ016MDdoT2ZyeXVLYTNYdDBYTE9jZTVfRm9maGx5YmV0ZFFtbHdtckFobHBqT1FKVW9GVDRuRXFmTGZKbXhyUzZ2WFhYRUVBVXNlYm4w?oc=5"" target=""_blank"">Narendra Modi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
16,"Dr. Seuss | Biography, Books, Characters, Movies, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTE85SG11N1NETk5RZWxmUlBRTnc2eDVNdER1c3BQZFhyU0lzcHRQeVJRdlJrUDVwZ1NmOHRTT0h4c0NMOXVsN3V6azF0dUtyWThXOHFvZnpGU08?oc=5"" target=""_blank"">Dr. Seuss | Biography, Books, Characters, Movies, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
17,"Elizabeth II | Biography, Family, Reign, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTFBFbDFZTDRjbk9fZGx3UHJULUxPTzM1QXI0cUhPTkxXWFpSRVAwWDBPQjl1SUgtV3ozMjh2eDk4VzE0dkY1cnVVSnd0UnBacHhKeWhEWExvTS1GWkVVVGc?oc=5"" target=""_blank"">Elizabeth II | Biography, Family, Reign, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
18,"Ernest Hemingway | Biography, Books, Death, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiY0FVX3lxTFBvQlZtTjgwTl9NQXhVT3Z2S0lRc2ZIQlJPUzYzdEtwZ2tvTk1jUGN0b3lSVWtaYVRVM20zSXMxSFo0cnMxY25YUjJhQmNBbGJSeXRHWjVmSTQ3Y2l1YkxzVjdNdw?oc=5"" target=""_blank"">Ernest Hemingway | Biography, Books, Death, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
19,"Greta Thunberg | Gaza, Flotilla, Age, Education, Climate Change, & Activism - Britannica","<a href=""https://news.google.com/rss/articles/CBMiYEFVX3lxTFAwbVFqQ2JNdmdrNmNMeXFFU2E5VjFyM3ExQjdGc092S2ZvdTl0SlNUXzlyQ1FidkQ3VnptUVRJWkRsX2FvZkhFeDhZLVhoQWdXMEkwWV90a1NjOXgwWmxRSA?oc=5"" target=""_blank"">Greta Thunberg | Gaza, Flotilla, Age, Education, Climate Change, & Activism</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
20,"Arthur Conan Doyle | Biography, Books, Sherlock Holmes, Death, Fairies, & Facts - Britannica","<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE5fblNQRDZVUzQwODJ6d24xTWlWTDEtamRwWVpWRWFEUnpDNGo2X3NrcmJzeDRWVzFUVWp4azdXRzNhVzU0ZG5BYU9PUlplZEJjU2FKekZBU0JRNHdqLVJKd1JMd3M2Zw?oc=5"" target=""_blank"">Arthur Conan Doyle | Biography, Books, Sherlock Holmes, Death, Fairies, & Facts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Britannica</font>"
